instant,dteday,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
1,2011-01-01,331,654,985,Spring,2011,Jan,Sat,Mist/Cloudy,14.110847,18.18125,80.58330000000001,10.749882,Not Working Day,Not Holiday
2,2011-01-02,131,670,801,Spring,2011,Jan,Sun,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,Not Working Day,Not Holiday
3,2011-01-03,120,1229,1349,Spring,2011,Jan,Mon,Clear/Few clouds,8.050924,9.47025,43.7273,16.636703,Working Day,Not Holiday
4,2011-01-04,108,1454,1562,Spring,2011,Jan,Tue,Clear/Few clouds,8.200000000000001,10.6061,59.0435,10.739832,Working Day,Not Holiday
5,2011-01-05,82,1518,1600,Spring,2011,Jan,Wed,Clear/Few clouds,9.305237,11.4635,43.695699999999995,12.522300000000001,Working Day,Not Holiday
6,2011-01-06,88,1518,1606,Spring,2011,Jan,Thu,Clear/Few clouds,8.378268,11.66045,51.8261,6.0008684,Working Day,Not Holiday
7,2011-01-07,148,1362,1510,Spring,2011,Jan,Fri,Mist/Cloudy,8.057402,10.44195,49.8696,11.304642,Working Day,Not Holiday
8,2011-01-08,68,891,959,Spring,2011,Jan,Sat,Mist/Cloudy,6.765000000000001,8.1127,53.5833,17.875868,Not Working Day,Not Holiday
9,2011-01-09,54,768,822,Spring,2011,Jan,Sun,Clear/Few clouds,5.671653,5.80875,43.416700000000006,24.25065,Not Working Day,Not Holiday
10,2011-01-10,41,1280,1321,Spring,2011,Jan,Mon,Clear/Few clouds,6.184153,7.5443999999999996,48.2917,14.958889,Working Day,Not Holiday
11,2011-01-11,43,1220,1263,Spring,2011,Jan,Tue,Mist/Cloudy,6.9327309999999995,9.5732,68.6364,8.182844000000001,Working Day,Not Holiday
12,2011-01-12,25,1137,1162,Spring,2011,Jan,Wed,Clear/Few clouds,7.0818069999999995,8.02365,59.954499999999996,20.410009,Working Day,Not Holiday
13,2011-01-13,38,1368,1406,Spring,2011,Jan,Thu,Clear/Few clouds,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,Working Day,Not Holiday
14,2011-01-14,54,1367,1421,Spring,2011,Jan,Fri,Clear/Few clouds,6.59567,9.42065,53.7826,8.478716,Working Day,Not Holiday
15,2011-01-15,222,1026,1248,Spring,2011,Jan,Sat,Mist/Cloudy,9.566653,12.4056,49.875,10.583521,Not Working Day,Not Holiday
16,2011-01-16,251,953,1204,Spring,2011,Jan,Sun,Clear/Few clouds,9.498347,11.71085,48.375,12.625010999999999,Not Working Day,Not Holiday
17,2011-01-17,117,883,1000,Spring,2011,Jan,Mon,Mist/Cloudy,7.209153,8.838550000000001,53.75,12.999139,Not Working Day,Holiday
18,2011-01-18,9,674,683,Spring,2011,Jan,Tue,Mist/Cloudy,8.883347,11.61665,86.16669999999999,9.833924999999999,Working Day,Not Holiday
19,2011-01-19,78,1572,1650,Spring,2011,Jan,Wed,Mist/Cloudy,11.979134,14.921100000000001,74.1739,13.957239,Working Day,Not Holiday
20,2011-01-20,83,1844,1927,Spring,2011,Jan,Thu,Mist/Cloudy,10.728347,12.7525,53.833299999999994,13.125568,Working Day,Not Holiday
21,2011-01-21,75,1468,1543,Spring,2011,Jan,Fri,Clear/Few clouds,7.2775,7.89165,45.7083,23.667214,Working Day,Not Holiday
22,2011-01-22,93,888,981,Spring,2011,Jan,Sat,Clear/Few clouds,2.4243464,3.9534800000000003,40.0,11.52199,Not Working Day,Not Holiday
23,2011-01-23,150,836,986,Spring,2011,Jan,Sun,Clear/Few clouds,3.9573897000000002,4.941955,43.6522,16.5222,Not Working Day,Not Holiday
24,2011-01-24,86,1330,1416,Spring,2011,Jan,Mon,Clear/Few clouds,3.9930433,5.8965,49.173899999999996,10.60811,Working Day,Not Holiday
25,2011-01-25,186,1799,1985,Spring,2011,Jan,Tue,Mist/Cloudy,9.162598000000001,11.7263,61.695699999999995,8.696332,Working Day,Not Holiday
26,2011-01-26,34,472,506,Spring,2011,Jan,Wed,Light Rain/Snow,8.9175,10.18,86.25,19.68795,Working Day,Not Holiday
27,2011-01-27,15,416,431,Spring,2011,Jan,Thu,Clear/Few clouds,7.995,10.985,68.75,7.627078999999999,Working Day,Not Holiday
28,2011-01-28,38,1129,1167,Spring,2011,Jan,Fri,Mist/Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,Working Day,Not Holiday
29,2011-01-29,123,975,1098,Spring,2011,Jan,Sat,Clear/Few clouds,8.057402,10.606300000000001,65.17389999999999,9.739455,Not Working Day,Not Holiday
30,2011-01-30,140,956,1096,Spring,2011,Jan,Sun,Clear/Few clouds,8.877402,12.5161,72.2174,4.956834199999999,Not Working Day,Not Holiday
31,2011-01-31,42,1459,1501,Spring,2011,Jan,Mon,Mist/Cloudy,7.414153,9.3125,60.375,12.541864,Working Day,Not Holiday
32,2011-02-01,47,1313,1360,Spring,2011,Feb,Tue,Mist/Cloudy,7.8791340000000005,11.7265,82.9565,3.565271,Working Day,Not Holiday
33,2011-02-02,72,1454,1526,Spring,2011,Feb,Wed,Mist/Cloudy,10.66,12.72085,77.5417,17.708636,Working Day,Not Holiday
34,2011-02-03,61,1489,1550,Spring,2011,Feb,Thu,Clear/Few clouds,7.665237,8.8939,43.7826,18.609384,Working Day,Not Holiday
35,2011-02-04,88,1620,1708,Spring,2011,Feb,Fri,Mist/Cloudy,8.663464,11.429350000000001,58.521699999999996,8.565213,Working Day,Not Holiday
36,2011-02-05,100,905,1005,Spring,2011,Feb,Sat,Mist/Cloudy,9.566653,12.152899999999999,92.91669999999999,10.792293,Not Working Day,Not Holiday
37,2011-02-06,354,1269,1623,Spring,2011,Feb,Sun,Clear/Few clouds,11.719153,14.58355,56.833299999999994,9.5006,Not Working Day,Not Holiday
38,2011-02-07,120,1592,1712,Spring,2011,Feb,Mon,Clear/Few clouds,11.138347,15.1829,73.83330000000001,3.0423561,Working Day,Not Holiday
