instant,dteday,hr,casual,registered,cnt,season_desc,year,month,weekday_desc,weather_desc,temp_actual,atemp_actual,hum_actual,windspeed_actual,workingday_desc,holiday_desc
1,2011-01-01,0,3,13,16,Spring,2011,Jan,Sat,Clear/Few clouds,9.84,14.395,81.0,0.0,Not Working Day,Not Holiday
2,2011-01-01,1,8,32,40,Spring,2011,Jan,Sat,Clear/Few clouds,9.02,13.635,80.0,0.0,Not Working Day,Not Holiday
3,2011-01-01,2,5,27,32,Spring,2011,Jan,Sat,Clear/Few clouds,9.02,13.635,80.0,0.0,Not Working Day,Not Holiday
4,2011-01-01,3,3,10,13,Spring,2011,Jan,Sat,Clear/Few clouds,9.84,14.395,75.0,0.0,Not Working Day,Not Holiday
5,2011-01-01,4,0,1,1,Spring,2011,Jan,Sat,Clear/Few clouds,9.84,14.395,75.0,0.0,Not Working Day,Not Holiday
6,2011-01-01,5,0,1,1,Spring,2011,Jan,Sat,Mist/Cloudy,9.84,12.879999999999999,75.0,6.0032,Not Working Day,Not Holiday
7,2011-01-01,6,2,0,2,Spring,2011,Jan,Sat,Clear/Few clouds,9.02,13.635,80.0,0.0,Not Working Day,Not Holiday
8,2011-01-01,7,1,2,3,Spring,2011,Jan,Sat,Clear/Few clouds,8.200000000000001,12.879999999999999,86.0,0.0,Not Working Day,Not Holiday
9,2011-01-01,8,1,7,8,Spring,2011,Jan,Sat,Clear/Few clouds,9.84,14.395,75.0,0.0,Not Working Day,Not Holiday
10,2011-01-01,9,8,6,14,Spring,2011,Jan,Sat,Clear/Few clouds,13.120000000000001,17.424999999999997,76.0,0.0,Not Working Day,Not Holiday
11,2011-01-01,10,12,24,36,Spring,2011,Jan,Sat,Clear/Few clouds,15.58,19.695,76.0,16.997899999999998,Not Working Day,Not Holiday
12,2011-01-01,11,26,30,56,Spring,2011,Jan,Sat,Clear/Few clouds,14.76,16.665,81.0,19.0012,Not Working Day,Not Holiday
13,2011-01-01,12,29,55,84,Spring,2011,Jan,Sat,Clear/Few clouds,17.22,21.21,77.0,19.0012,Not Working Day,Not Holiday
14,2011-01-01,13,47,47,94,Spring,2011,Jan,Sat,Mist/Cloudy,18.86,22.725,72.0,19.999499999999998,Not Working Day,Not Holiday
15,2011-01-01,14,35,71,106,Spring,2011,Jan,Sat,Mist/Cloudy,18.86,22.725,72.0,19.0012,Not Working Day,Not Holiday
16,2011-01-01,15,40,70,110,Spring,2011,Jan,Sat,Mist/Cloudy,18.04,21.97,77.0,19.999499999999998,Not Working Day,Not Holiday
17,2011-01-01,16,41,52,93,Spring,2011,Jan,Sat,Mist/Cloudy,17.22,21.21,82.0,19.999499999999998,Not Working Day,Not Holiday
18,2011-01-01,17,15,52,67,Spring,2011,Jan,Sat,Mist/Cloudy,18.04,21.97,82.0,19.0012,Not Working Day,Not Holiday
19,2011-01-01,18,9,26,35,Spring,2011,Jan,Sat,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,Not Working Day,Not Holiday
20,2011-01-01,19,6,31,37,Spring,2011,Jan,Sat,Light Rain/Snow,17.22,21.21,88.0,16.997899999999998,Not Working Day,Not Holiday
21,2011-01-01,20,11,25,36,Spring,2011,Jan,Sat,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,16.997899999999998,Not Working Day,Not Holiday
22,2011-01-01,21,3,31,34,Spring,2011,Jan,Sat,Mist/Cloudy,16.400000000000002,20.455000000000002,87.0,12.998000000000001,Not Working Day,Not Holiday
23,2011-01-01,22,11,17,28,Spring,2011,Jan,Sat,Mist/Cloudy,16.400000000000002,20.455000000000002,94.0,15.001299999999999,Not Working Day,Not Holiday
